UserID,Date,Transaction Description,Category,Amount,Type
U001,2025-01-02,Salário Mensal,Salary,11362.0,Income
U001,2025-01-11,Loja de Roupas,Shopping,417.87,Expense
U001,2025-01-14,Uber,Travel,45.54,Expense
U001,2025-01-13,Show,Entertainment,89.83,Expense
U001,2025-01-10,Restaurante,Food & Drink,30.73,Expense
U001,2025-01-29,Farmácia,Shopping,108.9,Expense
U001,2025-01-19,Aluguel Apartamento,Rent,2362.67,Expense
U001,2025-01-03,Cafeteria,Food & Drink,11.03,Expense
U001,2025-01-03,Farmácia,Shopping,448.82,Expense
U001,2025-01-18,Conta de Água,Utilities,179.88,Expense
U001,2025-01-08,Combustível,Travel,62.21,Expense
U001,2025-01-17,Metrô,Travel,87.39,Expense
U001,2025-01-11,Academia,Health & Fitness,422.07,Expense
U001,2025-01-05,Supermercado,Food & Drink,106.32,Expense
U001,2025-01-15,Conta de Água,Utilities,156.61,Expense
U001,2025-01-16,Restaurante,Food & Drink,162.03,Expense
U001,2025-01-22,Internet,Utilities,278.81,Expense
U001,2025-01-12,Restaurante,Food & Drink,16.45,Expense
U001,2025-01-11,Amazon,Shopping,216.42,Expense
U001,2025-01-05,Metrô,Travel,139.54,Expense
U001,2025-01-06,Supermercado,Food & Drink,158.87,Expense
U001,2025-01-11,Cafeteria,Food & Drink,31.31,Expense
U001,2025-01-24,Cafeteria,Food & Drink,84.3,Expense
U001,2025-01-05,Cafeteria,Food & Drink,161.58,Expense
U001,2025-01-08,Metrô,Travel,78.93,Expense
U001,2025-01-20,Amazon,Shopping,480.87,Expense
U001,2025-01-13,Metrô,Travel,122.42,Expense
U001,2025-01-04,Academia,Health & Fitness,576.47,Expense
U001,2025-02-01,Salário Mensal,Salary,11362.0,Income
U001,2025-02-15,Farmácia,Shopping,463.21,Expense
U001,2025-02-23,Internet,Utilities,317.77,Expense
U001,2025-02-16,Amazon,Shopping,530.2,Expense
U001,2025-02-11,Consulta Médica,Health & Fitness,78.82,Expense
U001,2025-02-22,Farmácia,Shopping,75.18,Expense
U001,2025-02-14,Aluguel Apartamento,Rent,886.52,Expense
U001,2025-02-07,Loja de Roupas,Shopping,334.47,Expense
U001,2025-02-18,Amazon,Shopping,560.39,Expense
U001,2025-02-10,Uber,Travel,128.15,Expense
U001,2025-02-23,Restaurante,Food & Drink,121.87,Expense
U001,2025-02-09,Farmácia,Shopping,386.49,Expense
U001,2025-02-25,Restaurante,Food & Drink,24.4,Expense
U001,2025-02-26,Cafeteria,Food & Drink,76.43,Expense
U001,2025-02-03,Cafeteria,Food & Drink,142.99,Expense
U001,2025-02-27,Internet,Utilities,92.15,Expense
U001,2025-02-21,Academia,Health & Fitness,321.43,Expense
U001,2025-02-19,CDB,Investment,275.67,Expense
U001,2025-02-25,Farmácia,Shopping,53.6,Expense
U001,2025-02-21,Supermercado,Food & Drink,35.41,Expense
U001,2025-02-11,Farmácia,Shopping,554.48,Expense
U001,2025-02-08,Netflix,Entertainment,176.79,Expense
U001,2025-02-10,Uber,Travel,94.13,Expense
U001,2025-02-13,ETF,Investment,524.89,Expense
U001,2025-02-04,Combustível,Travel,50.06,Expense
U001,2025-02-21,Aluguel Apartamento,Rent,2511.6,Expense
U001,2025-02-13,Combustível,Travel,78.34,Expense
U001,2025-02-25,Loja de Roupas,Shopping,153.29,Expense
U001,2025-02-28,Farmácia,Shopping,753.23,Expense
U001,2025-03-05,Salário Mensal,Salary,11362.0,Income
U001,2025-03-15,Supermercado,Food & Drink,72.21,Expense
U001,2025-03-07,Consulta Médica,Health & Fitness,551.59,Expense
U001,2025-03-09,Loja de Roupas,Shopping,92.64,Expense
U001,2025-03-22,Conta de Água,Utilities,297.36,Expense
U001,2025-03-17,Restaurante,Food & Drink,19.55,Expense
U001,2025-03-14,Uber,Travel,20.14,Expense
U001,2025-03-24,Metrô,Travel,126.84,Expense
U001,2025-03-20,Restaurante,Food & Drink,131.95,Expense
U001,2025-03-25,Metrô,Travel,72.68,Expense
U001,2025-03-28,Consulta Médica,Health & Fitness,566.36,Expense
U001,2025-03-23,Internet,Utilities,204.99,Expense
U001,2025-03-23,Metrô,Travel,110.7,Expense
U001,2025-03-16,Combustível,Travel,55.59,Expense
U001,2025-03-12,Show,Entertainment,238.64,Expense
U001,2025-03-22,Restaurante,Food & Drink,92.26,Expense
U001,2025-03-28,Tesouro Direto,Investment,1250.4,Expense
U001,2025-03-26,Consulta Médica,Health & Fitness,97.53,Expense
U001,2025-03-12,Supermercado,Food & Drink,78.77,Expense
U001,2025-03-30,Farmácia,Shopping,110.15,Expense
U001,2025-03-25,Consulta Médica,Health & Fitness,508.57,Expense
U001,2025-03-16,Farmácia,Shopping,57.71,Expense
U001,2025-03-07,Conta de Água,Utilities,208.66,Expense
U001,2025-03-16,CDB,Investment,1363.46,Expense
U001,2025-03-21,Farmácia,Shopping,617.36,Expense
U001,2025-03-08,Cinema,Entertainment,111.07,Expense
U001,2025-03-21,Farmácia,Shopping,364.67,Expense
U001,2025-03-29,Loja de Roupas,Shopping,607.74,Expense
U001,2025-03-23,Metrô,Travel,95.87,Expense
U001,2025-03-22,Cafeteria,Food & Drink,21.59,Expense
U001,2025-03-21,Restaurante,Food & Drink,77.19,Expense
U001,2025-03-31,Supermercado,Food & Drink,94.62,Expense
U001,2025-03-22,Cafeteria,Food & Drink,62.9,Expense
